Ventilation Oxygen
 21.9000 574
 18.6000 592
 18.6000 664
 19.1000 667
 19.2000 718
 16.9000 770
 18.3000 927
 17.2000 947
 19.0000 1020
 19.0000 1096
 18.6000 1277
 22.8000 1323
 24.6000 1330
 24.9000 1599
 29.2000 1639
 32.0000 1787
 27.9000 1790
 31.0000 1794
 30.7000 1874
 35.4000 2049
 36.1000 2132
 39.1000 2160
 42.6000 2292
 39.9000 2312
 46.2000 2475
 50.9000 2489
 46.5000 2490
 46.3000 2577
 55.8000 2766
 54.5000 2812
 63.5000 2893
 60.3000 2957
 64.8000 3052
 69.2000 3151
 74.7000 3161
 72.9000 3266
 80.4000 3386
 83.0000 3452
 86.0000 3521
 88.9000 3543
 96.8000 3676
 89.1000 3741
100.9000 3844
103.0000 3878
113.4000 4002
111.4000 4114
119.9000 4152
127.2000 4252
126.4000 4290
135.5000 4331
138.9000 4332
143.7000 4390
144.8000 4393
